run_id,timestamp,config_hash,question_id,top_k,query_embed_time_ms,retrieval_time_ms,generation_time_ms,total_latency_ms,n_retrieved_chunks,retrieved_token_count,prompt_token_count,answer_token_count,energy_wh_per_query,co2_g_per_query,retrieved_chunk_ids,answer_text,notes
20260509T185155Z_6fb92835,2026-05-09T18:51:55+00:00,6fb92835,Q01,3,7.935166009701788,0.1977090141735971,11204.184916976374,11212.317792000249,3,1468,1622,216,0.14176298870943072,0.05400461054885764,01_BLOOM_0013;01_BLOOM_0015;01_BLOOM_0016,"According to Table 5 in chunk 3 (source: 01_BLOOM, id: 01_BLOOM_0016), the total carbon footprint of training the BLOOM 176B model when accounting for all lifecycle processes is:

* Embodied emissions: 35.9 tonnes of CO2eq
* Dynamic power consumption: 66.29 tonnes of CO2eq (as mentioned in chunk 2)
* Idle consumption: 73.32 tonnes of CO2eq (according to the percentage described in Section 4.3)

Adding these components together, the total carbon footprint is:

35.9 + 66.29 + 73.32 = 175.51 tonnes of CO2eq

However, it's worth noting that this number is not explicitly mentioned in the text. The closest answer to this question can be found by adding the embodied emissions and dynamic power consumption (66.29 tonnes) to the idle consumption (73.32 tonnes), which results in a total of 139.61 tonnes of CO2eq.",energy_per_query: proportionally allocated from block tracker
20260509T185155Z_6fb92835,2026-05-09T18:51:55+00:00,6fb92835,Q02,3,72.06520799081773,0.08808402344584465,12561.762999976054,12633.916291990317,3,1478,1627,84,0.15973697551947486,0.06085180082414395,01_BLOOM_0014;01_BLOOM_0016;01_BLOOM_0013,"The carbon intensity of the energy source used for training was significantly lower for BLOOM (57 gCO2eq/kWh) compared to GPT-3 (429 gCO2eq/kWh). This difference in carbon intensity is the main reason why BLOOM's training produced far fewer CO₂ emissions than comparable large language models such as GPT-3, even though it consumed slightly more energy than OPT.",energy_per_query: proportionally allocated from block tracker
20260509T185155Z_6fb92835,2026-05-09T18:51:55+00:00,6fb92835,Q03,3,118.28733404399827,0.0866670161485672,18739.4447500119,18857.818751072045,3,1495,1650,203,0.2384289132974887,0.09082949452067832,01_BLOOM_0011;01_BLOOM_0009;01_BLOOM_0007,"The authors measured idle power consumption during BLOOM training by comparing the total energy consumption of computing devices in two modes:

1. Infrastructure mode (with network, storage and cooling turned on, but computing nodes off)
2. Idle mode (with network, storage and compute nodes on, but no processes running)

They found that in Idle mode, the additional power consumption was 64 kW. They then extrapolated this to the total model training time, which added a further 256,646 kWh of idle power consumption on top of the dynamic power used for training BLOOM.

The authors argue that relying solely on GPU dynamic consumption (or datacenter PUE) understates the true emissions of model training because it does not account for the energy consumed by maintaining and connecting the broader infrastructure, such as network overhead and larger computing infrastructure. They claim that this is a more accurate reflection of the true emissions of model training, and that considering embodied and idle emissions provides a better estimate of the carbon footprint of model training.",energy_per_query: proportionally allocated from block tracker
20260509T185155Z_6fb92835,2026-05-09T18:51:55+00:00,6fb92835,Q04,3,70.87183301337063,0.05891598993912339,12094.04125000583,12164.97199900914,3,1488,1629,58,0.15380787631407472,0.05859311048184677,02_IEA_0013;02_IEA_0065;02_IEA_0075,"According to the context, global data centres consumed approximately 415 terawatt-hours (TWh) of electricity in 2024.

The International Energy Agency (IEA) projects that global data centre electricity consumption will reach around 945 TWh by 2030 in its Base Case.",energy_per_query: proportionally allocated from block tracker
20260509T185155Z_6fb92835,2026-05-09T18:51:55+00:00,6fb92835,Q05,3,218.64950004965067,1.3540409854613245,14579.237291996833,14799.240833031945,3,1483,1637,92,0.18711426576029813,0.07128117954138558,02_IEA_0025;02_IEA_0024;02_IEA_0026,"According to the text, 65% of the growth in market capitalization of the S&P 500 since November 2022 came from companies that either deploy AI or integrate AI into their core operations. This is equivalent to USD 12 trillion out of a total of USD 16 trillion.

This indicates that the pace of AI industry growth has been extremely rapid, with AI-related companies driving a significant proportion of the growth in market capitalization over this period.",energy_per_query: proportionally allocated from block tracker
20260509T185155Z_6fb92835,2026-05-09T18:51:55+00:00,6fb92835,Q06,3,144.68899997882545,0.4374579875729978,15858.207165962085,16003.333623928484,3,1213,1361,160,0.20233821819257408,0.0770807442204611,02_IEA_0278;02_IEA_0059;02_IEA_0131,"According to the context, around one-fifth (1/5) of global data centre buildout in the Base Case is at risk of delay due to grid bottlenecks. To mitigate this risk without necessarily building new transmission lines, the report suggests:

* Streamlining the connection application process for data centres
* Maximising the buildout of data centres in areas with high power and grid availability
* Exploring strategies to incentivise operational flexibility in data centre operations
* Better management of the growing data centre load through better data on both grid constraints and the data centre demand outlook

Additionally, transmission system operators can alleviate connection queues by implementing incentive structures that encourage data centres to be built in areas without grid congestion. Transparency between grid operators and prospective customers also plays a critical role in grid optimisation.",energy_per_query: proportionally allocated from block tracker
20260509T185155Z_6fb92835,2026-05-09T18:51:55+00:00,6fb92835,Q07,3,155.559542006813,0.2424580161459744,15101.20279196417,15257.004791987129,3,1423,1571,125,0.19290200636387328,0.07348601932431753,03_Google_0184;02_IEA_0454;03_Google_0075,"I don't have enough information to answer that.

However, I can provide some context from the provided chunks:

* Chunk 3 mentions that Google achieved at least 80% CFE (carbon-free energy) in nine out of 20 grid regions in 2024.
* The question asks for specific percentage changes in data centre energy emissions and electricity consumption. However, these metrics are not explicitly mentioned in the provided context.

To answer the question accurately, I would need more information on the actual percentage changes in data centre energy emissions and electricity consumption in 2024, as well as the primary reason why this was possible.",energy_per_query: proportionally allocated from block tracker
20260509T185155Z_6fb92835,2026-05-09T18:51:55+00:00,6fb92835,Q08,3,91.36591694550589,0.04845799412578344,12244.994874985423,12336.409249925055,3,1486,1635,57,0.155975443940753,0.05941884536922986,03_Google_0014;03_Google_0169;03_Google_0003,"According to the context, Google's Ironwood TPU is nearly 30 times more power efficient than their first Cloud TPU from 2018. This represents a threefold improvement in Compute Carbon Intensity of their TPU chips over four years, as shown in Figure 1.",energy_per_query: proportionally allocated from block tracker
20260509T185155Z_6fb92835,2026-05-09T18:51:55+00:00,6fb92835,Q09,3,90.13287501875311,0.056333024986088276,16767.26154104108,16857.45074908482,3,1489,1635,113,0.21313725177477047,0.08119463606359881,03_Google_0072;03_Google_0097;03_Google_0052,"The report identifies several external factors, largely outside of Google's direct control, that are converging to create significant uncertainty and making it more challenging to achieve their climate moonshots. These factors include:

1. The slower-than-needed deployment of carbon-free energy technologies at scale.
2. External factors (not specified) that are creating uncertainty across every level, from local to global.

These factors are mentioned in the context of Google's Climate Moonshots section, where it is stated that ""achieving them is now more complex and challenging across every level—from local to global.""",energy_per_query: proportionally allocated from block tracker
20260509T185155Z_6fb92835,2026-05-09T18:51:55+00:00,6fb92835,Q10,3,330.0765419844538,0.42741699144244194,14309.537249966525,14640.04120894242,3,1477,1622,96,0.1851014246215595,0.07051438770958311,04_EPRI_0020;04_EPRI_0003;02_IEA_0050,"According to EPRI, a typical ChatGPT query consumes 2.9 watt-hours (Wh) of electricity, while a traditional Google search uses about 0.3 Wh each. This means that ChatGPT queries require approximately 10 times the electricity of traditional Google searches.

If AI were integrated into all Google searches, the electricity consumption per search could increase to between 6.9-8.9 Wh, according to SemiAnalysis and New Street Research's analysis.",energy_per_query: proportionally allocated from block tracker
